DATE,forecast,lower,upper
2025-11-18,5.45785234828227,5.434300862242406,5.481403834322133
2025-11-19,5.457760991046106,5.424146757117111,5.491375224975101
2025-11-20,5.457815774365453,5.416672365810504,5.498959182920402
2025-11-21,5.457782922976722,5.410211380874571,5.505354465078872
2025-11-24,5.457802622654551,5.404615453487043,5.510989791822059
2025-11-25,5.457790809537311,5.399503901591893,5.516077717482729
2025-11-26,5.457797893396252,5.394835577122783,5.520760209669722
2025-11-27,5.457793645486367,5.3904727607971195,5.525114530175615
2025-11-28,5.457796192789828,5.3863862857637175,5.529206099815938
2025-12-01,5.457794665272744,5.382515233415564,5.533074097129925
